date,cases,deaths
2020-06-11,2036500,113980
2020-06-12,2061993,114759
2020-06-13,2087327,115451
2020-06-14,2106457,115768
2020-06-15,2126574,116216
2020-06-16,2151459,116985
2020-06-17,2177114,117746
2020-06-18,2205173,118473
2020-06-19,2236009,119171
2020-06-20,2268034,119717
2020-06-21,2294413,119974
2020-06-22,2324879,120334
2020-06-23,2359939,121167
2020-06-24,2396928,121934
2020-06-25,2438101,124400
2020-06-26,2483629,125033
2020-06-27,2525928,125544
2020-06-28,2565436,125815
2020-06-29,2604932,126162
2020-06-30,2653321,127462
2020-07-01,2703296,128104
2020-07-02,2758855,128827
2020-07-03,2816009,129418
2020-07-04,2866015,129679
2020-07-05,2910782,129941
2020-07-06,2958098,130332
2020-07-07,3012182,131290
2020-07-08,3071637,132238
2020-07-09,3131526,133079
2020-07-10,3199753,133907
2020-07-11,3260474,134582
2020-07-12,3318279,134977
2020-07-13,3379846,135402
2020-07-14,3445448,136356
2020-07-15,3513790,137327
2020-07-16,3589477,138285
2020-07-17,3660400,139186
2020-07-18,3722851,139961
2020-07-19,3785126,140373
2020-07-20,3845014,140904
2020-07-21,3910291,142031
2020-07-22,3980030,143167
2020-07-23,4050036,144283
2020-07-24,4123561,145429
2020-07-25,4190337,146313
2020-07-26,4244554,146753
2020-07-27,4303735,148449
2020-07-28,4366851,149776
2020-07-29,4433633,151172
2020-07-30,4502581,152433
2020-07-31,4571669,153862
2020-08-01,4628497,154917
2020-08-02,4679291,155337
2020-08-03,4726775,155945
2020-08-04,4780324,157301
2020-08-05,4834047,158554
2020-08-06,4891561,159625
2020-08-07,4952718,160981
2020-08-08,5007958,161947
2020-08-09,5056438,162486
2020-08-10,5103611,163023
2020-08-11,5156968,164474
2020-08-12,5211246,165952
2020-08-13,5265307,167165
2020-08-14,5324784,168341
2020-08-15,5375527,169400
2020-08-16,5417664,169914
2020-08-17,5455187,170449
2020-08-18,5498420,171798
2020-08-19,5541433,173093
2020-08-20,5587462,174136
2020-08-21,5636491,175297
2020-08-22,5681517,176247
2020-08-23,5713850,176693
2020-08-24,5754254,177197
2020-08-25,5793437,178410
2020-08-26,5838756,179603
2020-08-27,5884368,180729
2020-08-28,5930932,181739
2020-08-29,5975541,182610
2020-08-30,6008970,182984
2020-08-31,6045457,183472
2020-09-01,6089506,184563
2020-09-02,6121950,185639
2020-09-03,6168347,186717
2020-09-04,6220448,187697
2020-09-05,6262701,188409
2020-09-06,6292699,188820
2020-09-07,6317865,189083
2020-09-08,6346807,189541
2020-09-09,6380139,190716
2020-09-10,6418200,191631
2020-09-11,6465767,192858
2020-09-12,6504871,193559
2020-09-13,6538214,193958
2020-09-14,6575101,194408
2020-09-15,6614318,195689
2020-09-16,6653586,196686
2020-09-17,6698896,197535
2020-09-18,6747783,198484
2020-09-19,6789594,199154
2020-09-20,6825950,199367
2020-09-21,6880902,199797
2020-09-22,6918293,200738
2020-09-23,6959842,201828
2020-09-24,7005046,202713
2020-09-25,7059627,203566
2020-09-26,7102322,204335
2020-09-27,7139620,204602
2020-09-28,7176980,204952
2020-09-29,7220677,205878
2020-09-30,7262735,206852
2020-10-01,7309153,207699
2020-10-02,7362733,208564
2020-10-03,7410512,209273
2020-10-04,7445575,209606
2020-10-05,7507988,210035
2020-10-06,7550850,210756
2020-10-07,7603867,211752
2020-10-08,7660249,212680
2020-10-09,7719211,213595
2020-10-10,7770859,214187
2020-10-11,7815642,214606
2020-10-12,7863658,214957
2020-10-13,7918051,215783
2020-10-14,7977904,216792
2020-10-15,8043257,217585
2020-10-16,8113721,218476
2020-10-17,8166482,219154
2020-10-18,8214364,219541
2020-10-19,8279804,220058
2020-10-20,8340398,220987
2020-10-21,8404635,222195
2020-10-22,8479765,223023
2020-10-23,8565062,223953
2020-10-24,8643641,224825
2020-10-25,8703356,225164
2020-10-26,8777994,225701
2020-10-27,8852381,226684
2020-10-28,8934263,227702
2020-10-29,9024932,228706
2020-10-30,9124800,229674
2020-10-31,9209007,230512
2020-11-01,9283202,230940
2020-11-02,9377208,231480
2020-11-03,9469624,232610
2020-11-04,9577702,234226
2020-11-05,9699051,235334
2020-11-06,9831874,236582
2020-11-07,9957805,237589
2020-11-08,10061218,238053
2020-11-09,10191667,238798
2020-11-10,10331417,240262
2020-11-11,10474295,241693
2020-11-12,10637946,242865
2020-11-13,10819442,244255
2020-11-14,10978475,245465
2020-11-15,11113661,246088
2020-11-16,11280224,246884
2020-11-17,11441855,248491
2020-11-18,11614135,250415
2020-11-19,11801643,252376
2020-11-20,12000502,254333
2020-11-21,12172435,255758
2020-11-22,12313229,256601
2020-11-23,12492852,257639
2020-11-24,12670710,259848
2020-11-25,12851300,262161
2020-11-26,12954294,263339
2020-11-27,13160133,264751
2020-11-28,13311541,265943
2020-11-29,13447663,266761
2020-11-30,13615321,268031
2020-12-01,13799549,270639
2020-12-02,14000721,273525
2020-12-03,14218459,276381
2020-12-04,14449827,279018
2020-12-05,14655535,281208
2020-12-06,14827456,282319
2020-12-07,15031979,283853
2020-12-08,15251693,286674
2020-12-09,15471409,289830
2020-12-10,15696634,292771
2020-12-11,15977147,295726
2020-12-12,16184679,297981
2020-12-13,16368898,299338
2020-12-14,16569783,301016
2020-12-15,16772936,304041
2020-12-16,17017763,307652
2020-12-17,17255472,310950
2020-12-18,17506662,313820
2020-12-19,17700567,316381
2020-12-20,17880478,317810
2020-12-21,18081996,319773
2020-12-22,18283633,323012
2020-12-23,18511396,326424
2020-12-24,18704907,329248
2020-12-25,18805838,330377
2020-12-26,19022699,332023
2020-12-27,19174788,333253
2020-12-28,19363798,335152
2020-12-29,19564828,338780
2020-12-30,19793777,342588
2020-12-31,20024801,346050
2021-01-01,20172049,347970
2021-01-02,20463659,350343
2021-01-03,20665439,351694
2021-01-04,20917269,353743
2021-01-05,21152285,357432
2021-01-06,21408251,361396
2021-01-07,21688585,365509
2021-01-08,21989362,369404
2021-01-09,22241281,372663
2021-01-10,22449576,374440
2021-01-11,22675892,376488
2021-01-12,22905869,380894
2021-01-13,23135194,384824
2021-01-14,23374716,388804
2021-01-15,23614569,392553
2021-01-16,23816762,395894
2021-01-17,23986856,397624
2021-01-18,24127989,399065
2021-01-19,24314933,401836
2021-01-20,24500421,406216
2021-01-21,24690903,410351
2021-01-22,24882468,414082
2021-01-23,25050385,417404
2021-01-24,25180061,419219
2021-01-25,25336637,421126
2021-01-26,25487275,425224
2021-01-27,25643045,429326
2021-01-28,25809220,433194
2021-01-29,25973835,436794
2021-01-30,26107635,439435
2021-01-31,26221430,441299
2021-02-01,26363284,443249
2021-02-02,26478540,446860
2021-02-03,26598723,450703
2021-02-04,26724359,455820
2021-02-05,26853860,459390
2021-02-06,26958807,462052
2021-02-07,27046088,463353
2021-02-08,27139070,464936
2021-02-09,27235460,468106
2021-02-10,27330435,471360
2021-02-11,27436075,475238
2021-02-12,27535702,480701
2021-02-13,27620354,484073
2021-02-14,27684134,485154
2021-02-15,27739406,486148
2021-02-16,27803946,487855
2021-02-17,27874107,490326
2021-02-18,27945898,492951
2021-02-19,28023910,495572
2021-02-20,28093630,497403
2021-02-21,28148810,498650
2021-02-22,28208276,500104
2021-02-23,28280189,502432
2021-02-24,28354383,505642
2021-02-25,28432264,508107
2021-02-26,28510582,510283
2021-02-27,28573256,511850
2021-02-28,28624161,512979
2021-03-01,28680857,514404
2021-03-02,28738501,515710
2021-03-03,28805113,518079
2021-03-04,28872395,520028
2021-03-05,28938090,522511
2021-03-06,28994675,523970
2021-03-07,29034739,524646
2021-03-08,29129252,525466
2021-03-09,29185151,527351
2021-03-10,29243346,528825
2021-03-11,29305733,530349
2021-03-12,29369899,532054
2021-03-13,29419456,533928
2021-03-14,29457445,534497
2021-03-15,29514609,535246
2021-03-16,29569140,536491
2021-03-17,29628071,537668
2021-03-18,29688541,539226
2021-03-19,29749164,540740
2021-03-20,29803589,541512
2021-03-21,29837782,541960
2021-03-22,29892498,542608
2021-03-23,29949244,543501
2021-03-24,30029147,545091
2021-03-25,30098263,546361
2021-03-26,30172762,547621
2021-03-27,30233462,548401
2021-03-28,30277977,548891
2021-03-29,30348716,549576
2021-03-30,30410950,550523
2021-03-31,30478886,551658
2021-04-01,30556079,552615
2021-04-02,30624668,553571
2021-04-03,30688804,554324
2021-04-04,30725627,554596
2021-04-05,30802221,555126
2021-04-06,30864193,556035
2021-04-07,30937283,558606
2021-04-08,31017741,559608
2021-04-09,31099323,560554
2021-04-10,31164081,561258
2021-04-11,31212058,561559
2021-04-12,31283990,562024
2021-04-13,31361311,563007
2021-04-14,31437061,563942
2021-04-15,31510755,564859
2021-04-16,31589109,565794
2021-04-17,31642983,566471
2021-04-18,31684382,566829
2021-04-19,31754642,567314
2021-04-20,31815666,568146
2021-04-21,31878161,568986
2021-04-22,31944402,569897
2021-04-23,32008186,570770
2021-04-24,32058654,571495
2021-04-25,32092245,571777
2021-04-26,32139580,572256
2021-04-27,32191457,572969
2021-04-28,32246275,573903
2021-04-29,32303857,574777
2021-04-30,32362374,575637
2021-05-01,32407133,576352
2021-05-02,32436765,576664
2021-05-03,32486709,577123
2021-05-04,32527664,578030
2021-05-05,32572383,578806
2021-05-06,32620077,579638
2021-05-07,32667570,580450
2021-05-08,32701236,581054
2021-05-09,32723564,581300
2021-05-10,32760121,581670
2021-05-11,32794162,582363
2021-05-12,32829645,583211
2021-05-13,32868084,583991
2021-05-14,32909065,584723
2021-05-15,32938115,585282
2021-05-16,32954825,585574
2021-05-17,32984032,585958
2021-05-18,33011895,586825
2021-05-19,33040689,587500
2021-05-20,33070307,588154
2021-05-21,33099318,588850
2021-05-22,33117634,589329
2021-05-23,33131784,589518
2021-05-24,33157412,589935
2021-05-25,33180250,590635
2021-05-26,33203636,591601
2021-05-27,33231383,592942
2021-05-28,33253407,593701
2021-05-29,33264967,594040
2021-05-30,33272409,594171
2021-05-31,33277912,594321
2021-06-01,33300482,594827
2021-06-02,33317340,595421
2021-06-03,33336811,596037
2021-06-04,33312812,596176
2021-06-05,33323260,596551
2021-06-06,33329413,596803
2021-06-07,33348865,597139
2021-06-08,33363050,597514
2021-06-09,33383714,598086
2021-06-10,33399513,598546
2021-06-11,33416340,599063
2021-06-12,33424619,599233
2021-06-13,33431406,599328
2021-06-14,33446525,599538
2021-06-15,33458397,599990
2021-06-16,33472808,600414
2021-06-17,33484995,600702
2021-06-18,33497695,601171
2021-06-19,33505275,601340
2021-06-20,33509338,601430
2021-06-21,33525182,601718
2021-06-22,33537943,602150
2021-06-23,33551974,602548
2021-06-24,33566669,602903
2021-06-25,33581632,603361
2021-06-26,33588423,603487
2021-06-27,33592510,603583
2021-06-28,33608058,603744
2021-06-29,33623787,604123
2021-06-30,33639764,604446
2021-07-01,33704723,604693
2021-07-02,33725159,604959
2021-07-03,33729152,605045
2021-07-04,33732074,605082
2021-07-05,33736665,605123
2021-07-06,33763742,605440
2021-07-07,33793961,605762
2021-07-08,33843194,606128
2021-07-09,33878529,606535
2021-07-10,33886287,606623
2021-07-11,33891830,606653
2021-07-12,33927213,606926
2021-07-13,33970195,607358
2021-07-14,34008250,607751
2021-07-15,34044268,608089
2021-07-16,34096492,608446
2021-07-17,34108937,608529
2021-07-18,34117964,608566
2021-07-19,34177146,608797
2021-07-20,34239257,609097
2021-07-21,34299048,609494
2021-07-22,34364548,609856
2021-07-23,34447610,610299
2021-07-24,34469200,610400
2021-07-25,34483033,610449
2021-07-26,34576119,610722
2021-07-27,34682937,611206
2021-07-28,34767898,611701
2021-07-29,34866192,612104
2021-07-30,34988866,612775
2021-07-31,35018564,612919
2021-08-01,35041458,612982
2021-08-02,35177628,613440
2021-08-03,35327939,614109
2021-08-04,35440283,614834
2021-08-05,35567255,615408
2021-08-06,35735606,616257
2021-08-07,35777721,616463
2021-08-08,35813789,616594
2021-08-09,35992480,617314
2021-08-10,36154571,618363
2021-08-11,36310148,618701
2021-08-12,36448857,619723
2021-08-13,36636249,620809
2021-08-14,36686066,621051
2021-08-15,36729884,621228
2021-08-16,36989377,622244
2021-08-17,37133674,623237
2021-08-18,37298285,624365
2021-08-19,37458037,626099
2021-08-20,37657643,627631
2021-08-21,37737034,628100
2021-08-22,37777607,628285
2021-08-23,38043754,629644
2021-08-24,38193951,631057
2021-08-25,38364887,632522
2021-08-26,38552648,634735
2021-08-27,38748559,636509
2021-08-28,38833818,637076
2021-08-29,38875976,637356
2021-08-30,39156379,639081
2021-08-31,39316629,640519
2021-09-01,39527624,642454
2021-09-02,39703320,645391
2021-09-03,39894795,647370
2021-09-04,39960849,647896
2021-09-05,40005266,648273
2021-09-06,40082242,648788
2021-09-07,40383380,651014
2021-09-08,40567569,653216
2021-09-09,40738140,656448
2021-09-10,40914456,658865
2021-09-11,40988382,659556
2021-09-12,41027940,659854
2021-09-13,41312998,661579
2021-09-14,41465694,664235
2021-09-15,41635889,666816
2021-09-16,41790772,670234
2021-09-17,41957710,672813
2021-09-18,42025890,673637
2021-09-19,42065846,673939
2021-09-20,42274012,676191
2021-09-21,42403987,678556
2021-09-22,42551480,681343
2021-09-23,42679344,684498
2021-09-24,42819355,687247
2021-09-25,42870947,687876
2021-09-26,42905182,688178
2021-09-27,43099971,690559
2021-09-28,43213311,692741
2021-09-29,43341823,695244
2021-09-30,43458032,697988
2021-10-01,43583808,700429
2021-10-02,43628030,701077
2021-10-03,43653869,701326
2021-10-04,43826566,703362
2021-10-05,43925168,705394
2021-10-06,44051123,707924
2021-10-07,44156525,710378
2021-10-08,44269451,712822
2021-10-09,44306785,713325
2021-10-10,44329824,713806
2021-10-11,44453504,714969
2021-10-12,44565080,717501
2021-10-13,44671637,719735
2021-10-14,44760606,721766
2021-10-15,44859166,723931
2021-10-16,44892707,724317
2021-10-17,44914859,724499
2021-10-18,45036892,726389
2021-10-19,45120575,728407
2021-10-20,45207197,731512
2021-10-21,45289143,733385
2021-10-22,45376439,735515
2021-10-23,45406263,735964
2021-10-24,45423365,736112
2021-10-25,45528926,737526
2021-10-26,45616349,739259
2021-10-27,45710893,741277
2021-10-28,45797078,743050
2021-10-29,45885801,745075
2021-10-30,45915212,745378
2021-10-31,45934095,745535
2021-11-01,46058665,746688
2021-11-02,46135608,748197
2021-11-03,46220452,750077
2021-11-04,46303539,751203
2021-11-05,46395307,753517
2021-11-06,46427246,753919
2021-11-07,46449331,754051
2021-11-08,46575792,755273
2021-11-09,46658771,756951
2021-11-10,46757833,758588
2021-11-11,46822434,759310
2021-11-12,46951785,761374
2021-11-13,47013182,761838
2021-11-14,47036791,761980
2021-11-15,47185415,763178
2021-11-16,47275900,764603
2021-11-17,47390257,766206
2021-11-18,47500530,769434
2021-11-19,47620178,771430
2021-11-20,47661242,771745
2021-11-21,47692614,771871
2021-11-22,47851481,773106
2021-11-23,47944266,774580
2021-11-24,48064175,776197
2021-11-25,48095028,776574
2021-11-26,48144799,777090
